name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер-программист,70000.0,,RUR,Санкт-Петербург,2022-12-02T11:18:44+0300
Главный эксперт (Системный администратор),100000.0,,RUR,Красноярск,2022-12-02T11:22:18+0300
Специалист техподдержки 1С,,,,Глазов,2022-12-02T11:19:55+0300
Методолог IT онлайн курсов-методист в детскую IT онлайн школу,200000.0,,KZT,Алматы,2022-12-02T11:31:24+0300
Преподаватель по дисциплине рисунок,,,,Тюмень,2022-12-02T10:35:35+0300
Автомеханик,125000.0,150000.0,RUR,Тюмень,2022-12-02T08:27:29+0300
Главный аналитик,,,,Москва,2022-12-02T11:01:28+0300
Подборщик/поисковик аудио и видео оборудования,25000.0,40000.0,RUR,Оренбург,2022-12-02T11:15:17+0300
Аналитик,90000.0,,RUR,Владивосток,2022-12-02T08:26:20+0300
Менеджер продукта,,,,Москва,2022-12-02T09:38:45+0300
Главный администратор корпоративной сети,65700.0,,RUR,Тюмень,2022-12-02T07:48:54+0300
Проектный менеджер в архитектурную студию,200000.0,250000.0,KZT,Алматы,2022-12-02T09:04:24+0300
Системный администратор,35000.0,,RUR,Кострома,2022-12-02T08:47:25+0300
Аналитик данных,150000.0,,RUR,Москва,2022-12-02T10:39:20+0300
Графический дизайнер,,,,Алматы,2022-12-02T06:57:44+0300
Compliance Manager,,,,Москва,2022-12-02T11:54:50+0300
Механик,,,,Нефтеюганск,2022-12-02T07:41:12+0300
Продуктовый аналитик / Product analyst (Пуши и Маркетинг),,,,Санкт-Петербург,2022-12-02T10:59:47+0300
Техник по эксплуатации 5/2,65000.0,78000.0,RUR,Москва,2022-12-02T11:01:09+0300
Начинающий специалист по сервисному обслуживанию банковского оборудования,75000.0,,RUR,Балашиха,2022-12-02T08:43:07+0300
Оператор станка с ЧПУ,100100.0,,RUR,Ижевск,2022-12-02T10:24:48+0300
Бизнес-аналитик,,,,Москва,2022-12-02T10:52:57+0300
